Q,A,,,,
如何获取补丁信息 ?,可以访问金蝶VIP社区的相关文章，根据产品线和具体问题进行搜索 ，可以获取相应的补丁信息和操作指导 。,,,,
数电发票在费控系统如何上传发票云校验 ?,数电发票对方的PDF/PFD/XML这三种交付文件都可以上传到费控系统中进行发票云校验 。上传后，系统会解析发票号码并 进行查验 。,,,,
前端报销人员如何处理数电发票 ?,前端报销人员无法直接看到电子税局上的数电发票 。如果员工需要报销上传发票 ，可以向销方索取数电发票的版式文件 ， 然后将文件上传到费控系统中 。,,,,
商家开完数电发票后会交付给业务员吗 ?,是的，商家开完数电发票后通常会进行交付 。对于使用金蝶开具的数电发票 ，如果填写了购方邮箱 ，发票会通过邮件发送 给购方。商家也可以将票据交付给业务员 ，同时票据也会进入购方的数字账号中 。,,,,
当我提交费用报销时 ，为什么滴滴发票的校验未通过 ， 提示该发票未上传税局抵账库 ?,这是税局提示发票不存在的情况 。刚开具的发票需要一段时间上传并入库 ，然后才能进行查验 。如果启用了查验未通过的 不给导入规则，那只能等发票能够成功查验后再进行报销 。,,,,
发票上传后需要多久才能进行查验 ?,查验时间取决于发票上传的时间 ，这个时间不由我们控制 。根据其他企业的情况来看 ，通常成功上传后至少需要一到两个 小时才能查验 。如果遇到税局维护时间 ，时间可能会更长 。,,,,
"为什么带销售清单的电子发票在采集时系统提示非源文
件?",这可能是由于签章没有覆盖整个文档导致的 。系统通过检验签名来判断文档是否被修改 ，如果签章未覆盖到整个文档 ，无 法判断文档是否被修改过 ，因此会提示非源文件 。,,,,
如果发票签名覆盖整个文档 ，该如何判断 ?,在严格验签模式下 ，签章需要覆盖全部页数 ，以防止在不破坏签章的情况下追加页数 。签章是文件的属性 ，而不是文件内 部的章。签章覆盖整个文档是为了确保签章的完整性和文档的一致性 。,,,,
数电发票的源文件如何控制 ?,数电发票税局提供的 ODF/PDF 文件都是预览文件 ，其中没有签名信息 ，无法校验是否为被修改过的源文件 。,,,,
税局对企业如何保存数电发票的电子档案有什么要求 ?,税局对于数电发票的电子档案保存并没有具体的要求 。您可以根据实际情况和企业内部的档案管理规定来进行保存 。,,,,
"开票时出现""金税开票失败: 已到开票截止日期，禁止开 票""的提示是什么情况 ?",这个提示表示已经到达了开票终止日期 ，不允许再进行开票操作 。,,,,
如果开票软件清卡后 ，仍然出现开票失败的情况 ，应该 怎么处理 ?,需要确认这个月是否已经清卡 ，以及锁死时间是哪天 。如果已经清卡仍然开票失败 ，可能是其他问题导致的 ，需要咨询下 税盘服务商 。,,,,
客户的邮箱和手机号维护好后 ，发票云会直接发送吗 ?,客户的接收邮箱是免费的 ，而短信需要购买才能发送 。发票云可以直接发送发票至接收邮箱 。,,,,
发票上传失败 ，提示税局连接有问题 ，该如何处理 ?,如果连接仍然无法通信，可以过一段时间再试，或者尝试更换手机热点或联系税盘服务商寻求解决方法 。,,,,
如果发票上传仍然无法报送 ，有其他的处理方式吗 ?,如果网络连接失败导致发票上传无法报送 ，可以联系税盘服务商咨询是否有其他解决方法 。,,,,
发票已经开出并在税盘中 ，但无法上传 ，没有其他处理 方式了吗 ?,如果连接仍然无法通信，可以过一段时间再试，或者尝试更换手机热点或联系税盘服务商寻求解决方法 。,,,,
关于发票云查询订单权益显示网络繁忙的问题 ，如何解 决?,可以联系技术支持人员进行反馈 ，并提供相应的错误信息截图 ，以便他们进一步排查和修复问题 。,,,,
在发票云组件中 ，开票和收票分别需要登录哪个平台 ?,需要使用发票云组件登录进行开票操作 ，使用智慧管家登录进行收票操作 。,,,,
发票智慧管理可以同时安装在多台电脑上吗 ?,是的，发票智慧管理可以同时安装在两台或以上电脑上 。安装时使用相同的激活码进行激活 ，平时使用时可以在其中一个 电脑上登录操作即可 。,,,,
发票备注内容限制为 200字符是因为税务平台限制吗 ? 是否可以调整 ?,是的，发票备注内容限制为 200字符是税务平台的限制 ，不是发票云可以调整的 。税务平台对各个字段都有长度限制 。,,,,
发票云的合规性配置是如何进行的 ?,发票云的合规性配置可以由企业的管理员进行操作 。管理员可以根据需要设置控制 ，例如对个人抬头进行限制 ，以校验增 值税的抬头 。,,,,
如果发票云的配置中设置了对个人抬头的控制 ，是否会 导致火车票无法通过查验 ?,对个人抬头进行控制设置可能导致火车票无法通过查验 。具体配置和限制设置可以联系当前使用企业的管理员进行操作和 调整。,,,,
下载发票提示XX企业已经是数电票用票试点纳税人 ， 该如何处理 ?,"提示""数电票试点纳税人 ""，这意味着原有的税盘通道 (包括软证书 )已被税局停止使用 ，无法继续使用原有的方式进行收 票，需要升级到数电票 。",,,,
当您升级到数电发票后 ，出现未初始化的提示 ，该如何 处理?,这是因为收票渠道切换到了数电票 ，但对应的企业未初始化电子税局相关信息 ，导致出现该提示 。,,,,
数电票配置信息时提示提示不支持贵州地区 ，该怎么处 理?,贵州地区刚刚上线数电票 ，目前仍在适配中 ，需要等待适配完成后才能使用电子税局 (数电票)进行收票。,,,,
应付单为什么会一直跑后台事务 ，没有启用应付与发票 云集成吗 ?,无论是否启用与发票云的集成 ，应付单的后台事务会一直运行 ，这是因为无论参数是否选择与发票云集成 ，如果存在发 票，系统都会传递相关信息给发票云 。当启用集成时 ，如果传递关系失败 ，系统会在前台报错告知用户 ;不启用集成时 ， 无论传递关系是否成功 ，都不会影响用户操作 ，并且不会进行通知 。,,,,
发票解绑后是否需要先解绑再删除 ?,应付单删除或者取消关联发票都会清除这个发票关系,,,,
开票日期错误导致税局提示发票不存在 ，如何解决?,如果开票日期错误导致税局提示发票不存在 ，您可以在明天修改开票日期后重新进行查验 。请确保开票日期正确，以便 成功查验发票 。,,,,
发票云是否识别机场建设费 ?,发票云会识别飞机行程单 ，但对于增值税发票 ，它只返回增值税的相关字段 。,,,,
入账时间什么时候会显示 ?,入账时间会在单据回写或全票池手工维护入账信息后显示 。如果没有提供凭证信息，则入账时间将为空。,,,,
发票云的上传的发票照片和发票 PDF文档可以存储在私 有化本地吗 ?,AWS发票云是公有云 SaaS，不支持将发票照片和 PDF文档存储在私有化本地 。只有星瀚私有化方案可以将文件存储在客户 的服务器上 。,,,,
客户想控制数电票只能上传 ODF/ODF文件，有什么好 的方法吗 ?,目前没有好的方法实现该需求 。,,,,
如果发票不是源文件且未使用 ，会被其他文件替换吗 ?,如果客户在小程序手工录入功能中替换了发票 ，并且该发票不是源文件且未使用过 ，则会被其他文件替换 。,,,,
关于发票识别为其他票 ，发票号码是否可以手工修改 ?,是的，如果系统不支持识别特定类型的票据 ，可以手工修改发票号码 。,,,,
客户想要费用报销单跟其他报销单的发票校验规则不 同，这个可以实现么 ?,在商家平台维护两个单据类型编码 ，两种单据调用收票助手时分别传入 ，就能实现同税号不同单据不同的配置 。,,,,
测试环境的Word、Excel等附件无法预览，该怎么处 理?,测试环境访问不到基础的调阅服务 ，生产环境是正常的 。,,,,
发票打印后 ，右边税额小数位没打印到 ，该怎么处理 ?,先调整左右参数，保证税额可以打印完整，然后再拿个废票打印下看看发票上的有没有压线 ，有就再微调下参数，也可以 配合下打印机挡板进行调整,,,,
发票类型识别错误是由于发票照片质量不好还是产品识 别问题 ?,发票类型识别错误可能是由于发票照片不清晰或不完整 ，导致产品识别为其他类型的票 。,,,,
开票时规格型号字段的限制是由开票软件规定还是税局 规定的?超长会怎样处理 ?,规格型号字段的限制是由税局规定的 ，一般为40个数字字母或20个汉字。如果超过限制，可能会导致无法开出票或被截断 。,,,,
为什么会开出两张一样的发票 ?,如果发票号码差了一位 ，但票面信息完全相同 ，一般是由于跳号的情况 。这可能是由于组件请求第一次未返回开票成功 ， 但实际上税盘底层已开出发票 。下次请求时发票开具成功 ，此时发票云获取到的发票号码是后面的那个 。需要进行发票修 复才能看到前面跳号的发票 。,,,,
升级为全电票会对原有税盘开票速度有影响吗 ?,升级为全电票不会影响开票速度 ，升级只是开通了数电票的渠道 ，不影响开票速度 。,,,,
普票是否有下载的限制 ，比如每月最多 4次?,下载次数限制是由税局决定的 ，需要查看具体的税局规定 ，与税局的要求保持一致 。,,,,
你们能提供一个涉及访问发票云的域名清单吗,可以的，请查看以下链接获取详细信息:https://www.yuque.com/piaozone/implement/alisv2?singleDoc# 《发票云环 境IP及域名总览(已迁移)》,,,,
数电票企业 ，税盘管理模块不用操作了是吗,数电企业不需要配置税盘管理菜单 。,,,,
数电企业还需要去关注金蝶发票管理软件的余量吗,数电票企业开票不需要申请发票票量 ，不需要看金蝶发票管理软件的发票余量,,,,
不同开票员怎么用自己账号去开票,配置税局账号的时候维护开票员 。开票会根据星空传的开票人去匹配开票员的账号开票 ，如果没维护就会取默认账号去开 票。,,,,
如果是已抵扣的票冲红 ，系统怎么操作,全电发票如果是对方已认证的发票去红冲 ，会需要对方做红字单的确认，才可红冲。红冲操作一样，只是要等对方确认这 个红票才能开出来,,,,
提示存在增值税 、消费税申报比对不符或逾期未申报的 记录，已暂停赋额且不可开具增值税发票 。这是什么问 题?应该如何处理 ?,这可能是企业报税问题 ，可能还没报税或报税数据有误 。您需要联系税局处理该问题 。,,,,
这个电票没有返回下载地址,请确保在开具电票时选择正确的开票按钮 ，如果是电子发票 ，请点击电子发票开具按钮 ，而不是金税发票开具按钮 。,,,,
产品激活时地区编码怎么填 ?,在航信开票软件右上角填写地区编码 。如果不是航信税盘或无税盘 ，则填写数字,,,,
注册码发放到哪里 ?,百望税盘激活完会自动申请注册码 ，不需要手动安装注册码文件,,,,
在初始化发票云时 ，我应以实物税控盘编号还是系统上 显示的税控盘编号为准 ?,"在初始化发票云组件时 ，请在实物税控盘编号为准 ，前面要加上前缀 ""33""/""44""",,,,
如果我的电脑是开票机 ，税盘插着且组件开启 ，我在另 一台电脑登录星空进行开票操作是否支持 ?,是的，支持在另一台电脑上登录星空进行开票操作,,,,
新版的全电票配置手册不需要下载客户端了吗 ?那之前 下载了客户端的用户怎么切换到现在不需要客户端的 ?,是的，新版全电票配置手册不需要下载客户端 。之前已下载客户端的用户可以参考以下链接获取相关操作步骤 : https://www.yuque.com/piaozone/hniny6/qffxa6rgrr43adue?singleDoc#jY5qk 《本地发票智慧管家升级上云操作手册,,,,
我本机的财务会计模块没有电子会计档案集成 ，是哪个 版本才有呢 ?,"》。 
请使用星空网页版来使用电子会计档案集成的功能",,,,
影像只有费用报销才可以使用吗 ?,星空默认在费用报销单上有影像相关调用按钮 ，其他单据可以模仿按钮配置来使用影像功能 。,,,,
客户更换了企业地址 ，需要星空这边更改吗 ?,星空开票的销方地址在金税连接设置里进行维护,,,,
"星空的电子影像档案一般可以做哪些单据的影像归档
呢?",星空的电子影像档案可以对凭证单据和凭证单据的上游单据 、总账明细账和周期报表进行影像归档 。,,,,
采购订单这种一般做不做影像归档 ?,如果采购订单有关联的单据生成凭证的话 ，也可以配置进行影像归档 。,,,,
影像归档和电子会计档案集成有什么区别,归档是将数据归档到会计档案系统 ，工作流中的服务 (影像上传或影像归档 )是指影像系统上传影像 ，与归档没有直接关 系。,,,,
电子发票开具后 ，给到客户的邮件的发件人是客户本身 的邮箱，还是有统一的发件人 ?,电子发票的邮件发件人是统一的发件箱 。,,,,
数电发票开具后 ，通过电子链接能下载的文件格式有哪 些?,数电发票通过邮件电子链接可以下载的文件格式有 OFD和PDF、XML,,,,
应收单下推开票单的时候 ，能否修改开票抬头 ?是否标 准产品支持此功能 ?,下推生成销售发票单据时可以修改购方抬头信息 。这是标准产品支持的功能 。,,,,
客户需要打开税盘上报汇总 ，是否可以操作一下,托管盘每天有定时任务处理汇总上传的 ，无需人工操作,,,,
客户已购买发票校验流量包 ，可以在哪里查看发票余 量?,目前前端查询界面的数据不太准确 。如果需要，我们可以导出实时收票统计表格来提供给您 。,,,,
客户发票余量为什么在移动端无法使用 ?,请让客户扫描单据中的发票助手页面上的二维码 ，跳转到微信小程序采集发票 。只有通过微信小程序采集发票才能获取到 企业信息并使用发票权益 。,,,,
出现金税开票失败的提示 :[410768]离线开票时间超 限!如何解决 ?,打开航天信息开票软件 ，点击发票修复。在开票软件的发票查询中 ，查看是否存在状态为 “报送中”或“报送失败”的发票。 如果有，选择相应发票并手动上传 。,,,,
扫码开票和小程序接口开票完成后 ，是否会在星空后台 生成销售发票单据 ?,不会生成星空的销售发票单据 。,,,,
是否支持批量重推发票邮件 ?,可以使用发票云产品绑定的管理员手机号登录发票云官网 ，在销项发票管理的开票查询页面 ，选择多个发票进行批量重推 。,,,,
全电发票下载是否支持 PDF格式?,是的，全电发票下载支持 PDF格式。,,,,
发票云续费后是否需要重新激活 ?,如果续费前后的下单平台或可授权数不一致 ，则需要重新激活。,,,,
为什么有条发票信息没有同步到星空 ?,不是通过星空开具的发票不会反向同步给星空 。,,,,
开具的星空发票在开票软件中显示已上传 ，但没有同步 到星空，如何处理?,可以作废掉该发票后重新在星空开具 ，或手动将发票信息填写到单据上 。,,,,
公司如何操作与金蝶关联起来开具全电发票 ?,根据文档进行相应的全电升级配置 ，详情请参考《星空升级全电配置(RPA)》文档。,,,,
如何开出清单模式的发票,按照金税开票单据的明细开出发票 ，如果明细超过 8行，系统会自动转换为销货清单模式 。清单打印按钮位于开票按钮下 方。,,,,
EAS系统可以开具特殊业务的全电发票吗 ?,不支持，目前只有星瀚支持开具特殊类型的全电票 。EAS需要进行全电改造才能兼容 。,,,,
全电收票的设置与之前的设置有什么不同 ?有相关手册 吗?,全电收票的设置与之前的设置存在差异。您可以参考https://www.yuque.com/piaozone/implement/pyopkq#B9m2Y 文档三 -4获取相关手册信息 。,,,,
想申请一个电子档案的测试地址 ，这个部署时服务器地 址是指星空服务器还是电子档案服务器 ?,档案的服务器,,,,
影像系统有发票验真的功能吗 ?,有发票查验功能,,,,
归档系统中只看到一个组织 ，如果有多个组织 ，需要将 其添加为下级组织吗 ?,归档系统没有组织概念 ，而是以账簿为维度 。从ERP成功归档后，系统会自动创建账簿数据 。,,,,
在星空7.6202101版中，收票跳转会直接跳出一个新的 星空界面，需要重新选单据填写单据信息 ，有解决方法 吗?,这是星空客户端内嵌网页的问题 。您可以考虑升级星空系统至新版 ，新版星空客户端对接了新的收票方式 ，也可直接使用 星空网页版 。,,,,
发票查验时提示票量已用完 ，是租户内部没有产生共享 吗,票量是租户内共享的。请让客户扫描单据——选择发票，在发票助手页面上使用二维码跳转到微信小程序采集发票 ，这样 才能获取到企业信息 。直接搜索微信小程序无法获取企业权益 。,,,,
星空智能收票单下载下来的发票是发票关键要素的形 式，而不是全票面信息对吗 ?,星空收票单下载后会提交一次查验 ，查验成功后会有发票明细 。如果有销货清单 ，星空会返回明细信息 。请注意，这仅适 用于支持查验的发票 。,,,,
激活产品时不确定需要选择哪个开票类型 ，因为客户是 全电票试点企业 ，但星空版本还未支持全电票 。应选择 哪个开票类型 ?,请确认是否仍使用税盘进行开票 。如果是，选择全电&税盘开票类型即可 。,,,,
为什么纳税识别号检验能够通过 ，但发票对应公司与我 的公司不一致 ?,因为发票本身没有问题 ，但与您的公司税号不匹配 。在这种情况下 ，您需要再次比对发票的税号和您公司的税号以确保其 正确性 。,,,,
纳税识别号检验能够通过 ，但发票对应公司与我的公司 不一致，我应该如何处理这种情况 ?,您需要再次比对发票的税号和您公司的税号是否一直,,,,
发票对应公司与我的公司不一致 ，纳税识别号检验能够 通过，为什么会出现这种情况 ?,因为发票是税局开的本身没有问题 ，但是税号跟您公司的不一样 ，所以发票可以通过验证只是不是您公司的,,,,
如何开通税务数字账户 ?,税务数字账户试点企业才能开通 ，非试点企业需要找税局沟通 。,,,,
为什么有些企业没有税务数字账户 ?,以为不是数电发票试点企业 ，需要找税局沟通,,,,
如何处理没有税务数字账户的公司 ?,可以切换组织到有数字账户的公司 ，或者向税局申请成为试点数电发票企业 。,,,,
星空如何操作插税控盘收票 ?,"插税控盘收票的具体操作步骤如下 :1、安装智慧管家和税务证书应用客户端 ; 2、在智慧管家里的税盘管理模块维护 ; 3、点击进去登录您的税局账户 ; 3、插上税盘，复制智慧管家中的长链接在星空那边的金税连接中配置 ; 4、每次收票都要插上税盘 
5、在星空收票单列表 ，点击接收发票",,,,
为什么星空那边的数电收票和税控收票配置需要修改 ?,"星空那边的配置需要修改是因为数电收票和税控收票走的是不同通道 ，数电收票走的是电子税局， 
https://www.yuque.com/piaozone/implement/ei5cmu4z9vsm241g ，参考这个星空全电升级配置，税控收票，复制智慧管",,,,
,家的中的长连接 ，到星空的金税链接中,,,,
为什么每次收票都需要插上税盘 ?,每次收票都需要插上税盘是因为这是直接从税局下票的途径 ，插上税盘可以确保获取到有效的发票信息 。,,,,
如果不插税盘 ，还可以如何收票 ?,如果不插税盘 ，可以选择主动采集发票上传 ，这种方式不需要插上税盘 ，但是需要注意确保上传的发票信息准确无误 。还 有就是通过数电 S收票,,,,
为什么在发票云商户运营平台批量下载的发票没有 PDF 格式?,可能是因为发票云商户运营平台暂时只提供了 OFD格式的下载选项，而没有提供PDF格式的下载选项。下周二会发版修 复，届时应该会有PDF格式可供选择。,,,,
为什么有些发票只有 OFD格式，而没有PDF格式?,对于有些发票只有OFD格式而没有PDF格式的原因，可能有很多种可能性。这可能包括但不限于开票软件设置 、开票员个 人偏好、企业规定等等因素 。一般来说，OFD格式和PDF格式都是通用的电子发票格式之一 ，但是有些企业或开票员可能 更倾向于使用其中一种格式 。,,,,
"发票云商户运营平台批量下载的发票是否可以提供多种
格式?",目前发票云商户运营平台批量下载的发票只提供了 OFD格式的下载选项，而没有提供PDF格式的下载选项。现在研发老师 在修复中，周二会发版修复，届时应该会有PDF格式可供选择。因此，未来是否会提供多种格式的下载选项 ，需要等待版 本更新后才能确定 。,,,,
如果下周二修复后仍没有 PDF格式，应该如何处理 ?,如果下周二修复后仍没有PDF格式可供选择，建议您可以尝试联系发票云客服或者开票员 ，了解具体原因并寻求解决方案 。您可以提供相关需求和意见 ，以便发票云方面进行后续改进和优化,,,,
登录能分配给财务开票人员自己的微信上吗 ?,可以分配给财务开票人员在自己的微信上登录,,,,
发票云微信公众号云化客户端短信通知规则是什么 ?,消息推送规则，一般是a用户绑定a账户，b用户绑定b账户，c用户绑定C账户，在开票人不为空的情况下 ，谁绑的当前开 票连通的谁 ，就会把信息推送到谁的微信上 ，如果开票人是空的 ，那么信息就会推送到默认账户上去 (星瀚ERP除外),,,,
电子税局账户能分开绑定吗 ?,可以不同的人进行绑定对应公司的电子税局账户,,,,
如果第一个绑定的人员离职了 ，发票云微信公众号短信 通知如何处理 ?,如果第一个绑定的人员离职了 ，需要删除绑定并重新绑定新的用户的电子税局账户,,,,
如何向发票云这边提需求 ?,可以将需求反馈给公众号客服或相关负责人 ，以便后续的需求跟进和处理 。,,,,
重新绑定是否可以单独绑定一个公司 ?,目前重新绑定也只支持全部解绑并重新绑定新的用户 ，无法单独绑定一个公司。,,,,
"如何配置发票云微信公众号电子税局账号重新登录认
证?",在金蝶发票云微信公众号中 ，进入“我的服务”菜单，点击“电子税局配置”，找到对应企业的电子税局账号 ，点击“编辑”重新 输入密码登录即可 。,,,,
电子税局身份认证成功后如何操作 ?,电子税局认证成功后 ，您可以重新登录电子税局账号 ，检查是否能够正常使用开具数电发票的功能 。,,,,
如果在金蝶开不了 3%数电发票 ，应该如何处理 ?,如果您在金蝶无法开具 3%的数电发票 ，您可以尝试联系金蝶客服或相关部门 ，并提供具体的错误信息 ，以便他们提供更准 确的解决方案 。,,,,
电子税局配置中没有找到对应企业的账号信息 ，如何处 理?,如果在电子税局配置中没有找到对应企业的账号信息 ，您可以尝试重新绑定或添加该企业账号 。具体操作可以参考相应平 台的帮助文档或联系客服获取支持 。,,,,
智慧管家新增账号提示授权信息有误的原因是什么 ?,"智慧管家新增账号提示授权信息有误可能有以下原因 :输入的信息有误:在输入账号信息时，可能由于输入错误、拼写错 误等问题导致授权信息有误 。 网络连接问题:网络连接不稳定或者服务器端出现故障可能导致授权信息有误的提示 。 账户被锁定:如果账户被锁定，可能会导致新增账号时出现授权信息有误的提示 。",,,,
如何解决智慧管家新增账号提示授权信息有误的问题 ?,"可以尝试以下方法解决智慧管家新增账号提示授权信息有误的问题 :检查输入的信息是否正确:在输入账号信息时，请仔 细检查输入的信息是否与账户设定一致 ，确保没有输入错误、拼写错误等问题。 检查网络连接是否正常 :可以尝试检查网络连接是否正常 ，并确保客户端与服务器之间的通信没有受到干扰 。 尝试删除并重新添加账号 :如果问题仍然存在 ，可以尝试删除有问题的账号 ，并重新添加一个新账号来替代 。",,,,
